Scholarship_Name,Scholarship_Type,Country,Funding_Level,Funding_Details,Application_Mode,Application_Month,Start_Date,End_Date,Quantity,For_Vietnamese,Eligibility,Eligible_Applicants,Field_Restriction,Danh_Sách_Nhóm_Ngành,Eligible_Fields,Required_Degree,Min_Gpa,Bachelor_Ranking_Requirement,Bachelor_Field_Relevance,Experience_Years,Min_Working_Hours,Language_Certificate,Academic_Certificate,Awards_Requirement,Publication_Requirement,Age,Gender,Special_Circumstances,Career_Plan,Other_Requirements,Scholarship_Info,Application_Documents,Timeline,Url
EPFL Excellence Fellowship -  École Polytechnique Fédérale de Lausanne,Trường,Thụy Sĩ,"Toàn phần, Sinh hoạt phí","Học phí + Sinh hoạt phí (CHF 10’000/semester + phòng ở ký túc xá, kéo dài tối đa 4 học kỳ cho bậc thạc sĩ",Thường niên,8,,2025-12-16 06:00:00,,True,,,Có,"Engineering, Basic Sciences, Computer Science, Life Sciences, Architecture","Engineering: Robotics, Materials Science; Computer Science: Data Science, Cybersecurity; Life Sciences: Bioengineering, Neuroscience; Basic Sciences: Physics, Applied Mathematics",Bằng Cử nhân,3.6,Không,Yêu cầu chặt chẽ,0.0,0.0,Tùy khóa học,Không bắt buộc,"Không, Thành tích học tập tốt",Không,Không yêu cầu,Không yêu cầu,,,"Hoạt động ngoại khóa, Thành tích học tập",Học bổng Excellence Fellowship của EPFL (Thụy Sĩ) cung cấp hỗ trợ tài chính cạnh tranh cho sinh viên quốc tế xuất sắc theo học chương trình thạc sĩ tại trường.,"Nộp đơn online cùng với hồ sơ đăng ký chương trình thạc sĩ tại EPFL.
Đánh dấu chọn vào ô trong đơn ứng tuyển thạc sĩ để đăng ký xét học bổng.
Hồ sơ chi tiết cần theo hướng dẫn của EPFL Masters Fellowship Guidelines.","Kết thúc vòng 1: 15 tháng 12
kết thúc vòng 2: 31 tháng 3",https://www.epfl.ch/education/master/master-excellence-fellowships/
ARES Scholarships in Belgium for Developing Countries (UD ARES – Académie de Recherche et d’Enseignement Supérieur),"""Quỹ, tổ chức""",Bỉ,"Toàn phần, Sinh hoạt phí, Chi phí khác","học phí, chi phí đi lại quốc tế, trợ cấp sinh hoạt, phí đăng ký, chi phí visa, bảo hiểm, ...",Thường niên,8,,2025-09-19 22:00:00,130,True,Có,"chỉ dành cho công dân của 31 quốc gia đang phát triển bao gồm Africa (Benin, Burkina Faso, Burundi, Cameroon, Ethiopia, Guinea, Kenya, Madagascar, Mali, Morocco, Mozambique, Niger, DR Congo, Rwanda, Senegal, South Africa, Tanzania, Tunisia, Uganda, Zimbabwe), South America and the Caribbean (Bolivia, Cuba, Ecuador, Haiti, Peru), Southeast Asia (Cambodia, Indonesia, Nepal, Philippines, Vietnam), Asia (Palestinian territory). Người Palestine được chấp nhận dù không cư trú tại 31 quốc gia hợp lệ",Có,"Public Health, Agriculture, Environment, Human Rights, Digital Technologies, Transport and Logistics",Public Health: Public Health Methodologies; Human Rights: Transnational Justice; Environment: Management of Natural Resources in Tropical and Subtropical areas; Agriculture: Food Science and Technology,Bằng Cử nhân,0.0,Không,Yêu cầu chặt chẽ,2.0,0.0,Tiếng Anh,Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,,,Cam kết trở về,"Mỗi năm, ARES mang đến cơ hội theo học chương trình cử nhân nâng cao hoặc thạc sĩ, hoặc khóa đào tạo ngắn hạn từ 2 đến 6 tháng tại các cơ sở giáo dục đại học thuộc Liên đoàn Wallonia-Brussels, Vương quốc Bỉ.","Tạo tài khoản trực tuyến GIRAF
Điền và nộp đầy đủ đơn xin học bổng trên hệ thống
Hạn cuối nộp hồ sơ: 19/9/2025, 12h00 trưa (giờ Bỉ, UTC+1) → 17h00 cùng ngày giờ Việt Nam","Hạn nộp hồ sơ: 19/9/2025 lúc 17h00 (giờ Việt Nam)
",https://www.ares-ac.be/en/international-training-scholarships-2026-2027
UNIL Master’s Grants in Switzerland for Foreign Students - University of Lausanne,Trường,Thụy Sĩ,Toàn phần,"CHF 1,600/tháng trong 10 tháng/năm cho toàn bộ thời gian học thạc sĩ + miễn phí học phí cố định, trừ phí CHF 80/semester",Thường niên,9,2025-09-01 00:00:00,,10,True,Có,"chỉ dành cho sinh viên quốc tế, chưa từng đăng ký tại UNIL",Có,All academic disciplines,"All fields: All Master's programmes from UNIL, except Medicine, Education, etc. (Same as #33). Examples: Geosciences: MSc in Environmental Geosciences; Letters: MA in Digital Humanities","Bằng Cử nhân, Tương đương bằng Cử nhân",0.0,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tiếng Pháp, Tiếng Anh",Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,,,,Trường Đại học Lausanne (UNIL) tại Thụy Sĩ cấp học bổng UNIL Master’s Grants trên cơ sở cạnh tranh cho sinh viên quốc tế mong muốn theo học chương trình Thạc sĩ tại trường.,"Đơn đăng ký học bổng (cũng được tính là đơn xin nhập học thạc sĩ tại UNIL)
Bằng đại học (hoặc bằng tương đương với cử nhân của Thụy Sĩ)
Bảng điểm học tập
Minh chứng ngoại ngữ (C1 tiếng Pháp hoặc C1 tiếng Anh, tùy chương trình)
CV và các giấy tờ bổ sung (không có danh sách chi tiết đầy đủ trong bản tóm tắt, cần tham khảo website chính thức)
Biên lai đóng phí hành chính CHF 200","Tháng 9/2025: Mở đơn học bổng năm học 2026–2027
Hạn nộp hồ sơ: 1/11/2025 lúc 18:00 giờ Việt Nam (12:00 trưa giờ Thụy Sĩ)
Khóa học bắt đầu: Tháng 9/2026",https://www.unil.ch/unil/en/home/menuinst/etudier/mobilite-et-echange/etudiantes-et-etudiants-internationaux/etudiantes-internationaux-reguliers/bourses-master-de-lunil.html
Eric Bleumink Scholarships at University of Groningen,"""Quỹ, tổ chức""",Hà Lan,"Toàn phần, Sinh hoạt phí, Chi phí khác","học phí, chi phí đi lại quốc tế, sinh hoạt, sách vở, bảo hiểm y tế",Thường niên,10,,2025-12-02 06:00:00,,True,Có,"chỉ dành cho sinh viên từ các nước đang phát triển: Afghanistan, Angola, Bangladesh, Benin, Bhutan, Burkina Faso, Burundi, Cambodia, Chad, Comoros, Djibouti, Equatorial Guinea, Eritrea, Ethiopia, Gambia, Guinea, Guinea-Bissau, Haiti, Kiribati, Laos, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, Mozambique, Myanmar, Nepal, Niger, Rwanda, Sao Tome and Principe, Senegal, Sierra Leone, Solomon Islands, Somalia, Tanzania, Togo, Tuvalu, Uganda, Vanuatu, Yemen, Timor-Leste, Sudan (Rep.), Congo (Dem. Rep.), South Sudan, Central African Republic, Zambia, Armenia, Bolivia, Cape Verde, Congo (Rep.), Congo, El Salvador, Ghana, Honduras, India, Indonesia, Kosovo, Korea (Dem. Rep.), Kyrgyzstan, Moldova, Mongolia, Morocco, Nigeria, Vietnam, Uzbekistan, Ukraine.
trước 6:59 sáng ngày 1/12 Sinh viên phải được nhận (có điều kiện hoặc vô điều kiện) vào một chương trình Thạc sĩ của Đại học Groningen.",Không,All academic disciplines,All fields: All Master's degree programmes. Examples: Arts: MA International Relations; Science and Engineering: MSc Artificial Intelligence; Law: LLM Global Criminal Law; Medical Sciences: MSc Medical and Pharmaceutical Sciences,Bằng Cử nhân,3.6,Không,Yêu cầu chặt chẽ,0.0,0.0,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,,Cam kết tham gia toàn bộ khóa học,Quỹ Eric Bleumink trao học bổng cho những sinh viên tài năng và các nhà nghiên cứu trẻ đến từ các nước đang phát triển. Học bổng được cấp cho chương trình Thạc sĩ kéo dài 1 năm hoặc 2 năm.,,,http://www.rug.nl/education/international-students/financial-matters/ericbleumink
Master’s in Education for Global Futures (EdGlo) - University of Oulu,Trường,Phần Lan,"Sinh hoạt phí, Toàn phần, Chi phí khác",2 nam,Tùy giai đoạn,,,,,True,Không,,Có,Education,Education: Education for Global Futures,Bằng Cử nhân,0.0,Không,Không yêu cầu chặt chẽ,0.0,0.0,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,"Không yêu cầu chính thức, nhưng khuyến khích định hướng nghề nghiệp trong giáo dục, chính sách, phát triển quốc tế.","Đóng góp phát triển, Đa văn hóa","Education for Global Futures là chương trình thạc sĩ toàn thời gian kéo dài 2 năm, tạo điều kiện cho các đối thoại toàn cầu về giáo dục, với mục tiêu tái tưởng tượng giáo dục dựa trên công bằng xã hội và tư duy phi thực dân. Hiện chương trình đang tạm ngừng tuyển sinh năm 2026–2027 để phát triển lại nội dung.",,,https://www.oulu.fi/en/apply/masters-education-for-global-futures
"Master’s in Learning, Education and Technology (LET) – University of Oulu",Trường,Phần Lan,"Sinh hoạt phí, Toàn phần, Chi phí khác",2 năm ,Thường niên,1,2026-01-07 00:00:00,2026-01-21 00:00:00,,True,Không,,Có,"Education, Technology","Education and Technology: Learning, Education and Technology",Bằng Cử nhân,0.0,Không,Yêu cầu chặt chẽ,0.0,0.0,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,"Không yêu cầu chính thức, nhưng định hướng nghề nghiệp đa dạng (giảng viên, nghiên cứu, thiết kế học tập, HR developer, consultant…).",,"Learning, Education and Technology là chương trình thạc sĩ toàn thời gian kéo dài 2 năm, dựa trên ba trụ cột: học tập hợp tác, học tập tự điều chỉnh và học tập tăng cường bằng công nghệ. Sinh viên sẽ trở thành chuyên gia trong lĩnh vực khoa học học tập và công nghệ giáo dục, có cơ hội nghiên cứu, thực hành và phát triển sự nghiệp đa dạng trong giáo dục và thiết kế học tập.",,,https://www.oulu.fi/en/apply/masters-learning-education-and-technology
Master Mind Scholarship – The Flemish Ministry of Education and Training,Chính phủ,Bỉ,Toàn phần,"Học phí toàn phần và €10,000/năm (tối đa 2 năm)",Thường niên,10,2024-10-29 00:00:00,2025-01-16 05:59:59,,True,Có,"không áp dụng cho sinh viên đang học tại cơ sở giáo dục Flemish, trừ trường hợp theo học chương trình dự bị để vào Master từ T9/2025",Có,All academic disciplines,"Varies by university: All Master's degree programs at participating Flemish universities (KU Leuven, Ghent University, etc.)",Bằng Cử nhân,3.6,Không,Không yêu cầu chặt chẽ,0.0,0.0,"Tiếng Anh, TOEFL iBT >= 94, Cambridge CPE: C2, IELTS >= 7.0",Không bắt buộc,"Có, Thành tích học tập tốt",Không,Không yêu cầu,Không yêu cầu,,"Không yêu cầu cứng, nhưng cần thể hiện trong motivation","Lãnh đạo, Đóng góp phát triển","Bộ Giáo dục và Đào tạo Flemish trao học bổng cho những sinh viên xuất sắc đến từ khắp nơi trên thế giới để theo học các chương trình Thạc sĩ tại Flanders và Brussels. Học bổng Master Mind bao gồm khoản hỗ trợ €10,000 cùng miễn học phí mỗi năm học.","Application file cho chương trình Master’s đủ điều kiện (trước 15/01/2025, 23:59 CET)
KU Leuven Scholarships & Master Mind Candidacy Form (annexe)
Đăng ký online scholarship candidacy
Nếu được đề cử → nộp video 1 phút về motivation","29/10/2024: Mở đơn
16/01/2025, 05:59 (VN): Hạn cuối nộp hồ sơ & form
08/03/2025: Thông báo đề cử
17/03/2025: Deadline nộp video motivation (cho vòng tiếp theo)
15/04/2025: Thông báo preselection (tối đa 20 suất KU Leuven)
05/2025 – 06/2025: Kết quả chính thức (Flemish Gov)",https://www.kuleuven.be/programmes/master-educational-studies
Inspiring the Outstanding Scholarship (KU Leuven),Trường,Bỉ ,"Sinh hoạt phí, Toàn phần","Full tuition fee waiver (chỉ đóng phí hành chính €136.50/năm)
Living allowance €12,000/năm
Tối đa 2 năm cho chương trình Master 120 ECTS (1 năm cho 60 ECTS)",Thường niên,10,2024-10-29 06:00:00,2025-01-16 05:59:59,1,True,Có,không áp dụng cho sinh viên đã đang học tại cơ sở giáo dục Flanders (trừ trường hợp học chương trình dự bị để vào Master năm sau),Có,Varies by Faculty,"Varies: This is faculty-specific, not a centralized program. Eligible programs are determined by the faculty offering the award.","Bằng Cử nhân, Tương đương bằng Cử nhân",3.6,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tiếng Anh, IELTS >= 7.0, TOEFL iBT >= 94, Cambridge CPE: C2",Không bắt buộc,"Không, Có sẽ được đánh giá rất cao",Không,Không yêu cầu,Không yêu cầu,,,Lãnh đạo,"KU Leuven cam kết tạo điều kiện để giáo dục đại học trở nên dễ tiếp cận với sinh viên đến từ mọi hoàn cảnh, bất kể điều kiện tài chính của họ. Do đó, Trường đã thành lập một quỹ từ các khoản đóng góp của cộng đồng KU Leuven toàn cầu nhằm trao học bổng cho những sinh viên xuất sắc mong muốn theo học một trong các chương trình của trường.
Học bổng được xây dựng dựa trên phương châm ‘truyền cảm hứng cho những người xuất sắc’, phản ánh sứ mệnh và khát vọng của KU Leuven, đồng thời nhấn mạnh cam kết của trường trong việc thúc đẩy sự xuất sắc và đổi mới.","Hồ sơ nhập học chương trình Master đủ điều kiện (bao gồm CV, transcript, degree, motivation letter, recommendation, chứng chỉ tiếng Anh, passport)
KU Leuven Scholarships & Master Mind Candidacy Form (annexe)
Đăng ký online scholarship candidacy
Video 1 phút (nếu được nominate)",,https://www.kuleuven.be/scholarships/year/2025-2026/inspiring-the-outstanding-scholarship
KU Leuven ASEAN Scholarship,Trường,Bỉ,"Sinh hoạt phí, Toàn phần","100% học phí, €4,000 allowance (một lần duy nhất), sinh viên chỉ trả phí quản lý hằng năm €136.50",Thường niên,10,2024-10-29 00:00:00,2025-01-16 05:59:59,1,True,Có,"chỉ sinh viên đến từ các nước ASEAN (Brunei, Cambodia, East Timor, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam), chỉ dành cho các chương trình Master/Advanced Master đủ điều kiện (không áp dụng cho preparatory, bridging, distance learning)",Có,"Business, Economics, Engineering, Sciences","Business and Economics: Master of Business Administration, Master of Economics; Engineering: Master of Civil Engineering, Master of Chemical Engineering; Sciences: Master of Biology, Master of Chemistry","Bằng Cử nhân, Sắp tốt nghiệp",3.6,Không,Không đề cập,0.0,0.0,"Tiếng Anh, IELTS >= 7.0, TOEFL iBT >= 94, Cambridge CPE: C2",Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,"Không yêu cầu cụ thể, nhưng phần “motivation” cần thể hiện định hướng",Lãnh đạo,"Học bổng KU Leuven ASEAN được trao cho một sinh viên xuất sắc đến từ Đông Nam Á mong muốn theo học chương trình Thạc sĩ hoặc Thạc sĩ nâng cao tại KU Leuven. KU Leuven cam kết tạo điều kiện để giáo dục đại học trở nên dễ tiếp cận với sinh viên từ mọi hoàn cảnh, bất kể điều kiện tài chính của họ. Vì vậy, Trường đã thành lập một quỹ từ các khoản đóng góp của cộng đồng KU Leuven toàn cầu nhằm trao học bổng cho những sinh viên xuất sắc mong muốn theo học một trong các chương trình của trường. Thông qua học bổng này, Trường hy vọng sẽ hỗ trợ và truyền cảm hứng để các tài năng bắt đầu hành trình thay đổi thế giới như chúng ta đang biết ngày nay.","Hoàn thành hồ sơ apply chương trình Master eligible trước 15/01/2025 (CET) kèm KU Leuven Scholarships & Master Mind Candidacy Form (annexe).
Đăng ký hồ sơ học bổng trên online registration tool trước 15/01/2025 (CET).
Nếu được đề cử → thông báo trước 08/03/2025.
Gửi video 1 phút về động lực trước 17/03/2025.","Mở đơn: 29/10/2024
Hạn nộp: 16/01/2025, 05:59 sáng (giờ VN)
Thông báo đề cử: Trước 08/03/2025
Hạn nộp video: 17/03/2025
Thông báo kết quả cuối: Cuối tháng 5 hoặc đầu tháng 6/2025",https://www.kuleuven.be/scholarships/year/2025-2026/ku-leuven-asean-scholarship
INEMA with EPOS Scholarship (DAAD),Chính phủ,Đức,"Sinh hoạt phí, Toàn phần, Chi phí khác, Trợ cấp học tập","100% học phí, 934 € / tháng sinh hoạt phí, Trợ cấp đi lại quốc tế, trợ cấp nghiên cứu, trợ cấp gia đình (nếu có vợ/chồng hoặc con đi cùng), bảo hiểm y tế, tai nạn và trách nhiệm dân sự trong suốt thời gian lưu trú. ",Thường niên,1,2025-01-02 06:00:00,2025-03-16 05:59:59,6,True,Có,Dành cho ứng viên từ các quốc gia trong danh sách hợp lệ của DAAD. Bằng cấp học thuật thường không được quá sáu năm tuổi.,Có,Education Management,Education Management: International Education Management (INEMA),"Bằng Cử nhân, Tương đương bằng Cử nhân",2.0,Không,Yêu cầu chặt chẽ,2.0,0.0,Tiếng Anh B2,Không bắt buộc,Thành tích học tập tốt,Không,Tốt nghiệp không quá 6 năm,Không yêu cầu,,,"Đóng góp phát triển, Lãnh đạo",Ứng viên đến từ các quốc gia đủ điều kiện có thể nộp đơn xin học bổng toàn phần EPOS do Cơ quan Trao đổi Hàn lâm Đức (DAAD) cấp. Số lượng học bổng EPOS chỉ giới hạn 6 suất nên mức độ cạnh tranh rất cao,"Hộ chiếu (bản sao)
CV (theo mẫu Europass, không được để trống thời gian)
Thư động lực (Letter of Motivation, có mẫu, tối đa 1150 từ)
Bằng tốt nghiệp THPT (School leaving certificate)
Bằng đại học (Degree certificates, dịch công chứng tiếng Anh nếu cần)
Bảng điểm đại học (Transcript of records, có thang điểm)
Giấy xác nhận công việc (Proof of employment: ít nhất 2 năm, có dấu, chữ ký, ngày tháng)
Chứng chỉ tiếng Anh (IELTS/TOEFL/Duolingo, tương đương B2 CEFR)
Thư giới thiệu & xác nhận hỗ trợ từ đơn vị công tác hiện tại
Mẫu đơn DAAD (chỉ dành cho EPOS applicants)
Checklist EPOS (ký, ghi ngày tháng, không bản số hóa)
(Riêng Trung Quốc: APS Certificate)","Mở cổng nộp hồ sơ: 02/01/2025 (06:00 sáng VN)
Hạn chót nộp đơn INEMA + EPOS: 16/03/2025 (05:59 sáng VN)
Gửi thư mời phỏng vấn: 21/03/2025 (05:59 sáng VN)
Phỏng vấn: 26–28/03/2025 (giờ CET, tức chiều–tối VN)
Thư báo trúng tuyển: dự kiến cuối tháng 5/2025
Thông báo kết quả EPOS (DAAD): dự kiến cuối tháng 5/2025
Thư trao học bổng EPOS: dự kiến giữa tháng 6/2025",https://www.ph-ludwigsburg.de/fakultaet-1/institut-fuer-bildungsmanagement/international-educational-leadership-and-management/masters-program-international-education-management/admissions
Guillaume Dupaix International Master's Scholarship,Chính phủ,Luxembourg,"Sinh hoạt phí, Chi phí khác","10,000 EUR/năm, trong đó một phần được dùng để tài trợ chỗ ở trong ký túc xá (tối đa 650 EUR/tháng) và phần còn lại được trả theo đợt",Thường niên,2,,2025-03-31 00:00:00,30,True,Có,Dành cho sinh viên quốc tế (cả trong và ngoài EU) có thành tích học tập xuất sắc và không đang nhận hỗ trợ tài chính khác cho giáo dục đại học từ nhà nước Luxembourg.,Có,"Law, Economics, Finance, Computer Science, STEM, Humanities","Law, Economics, Finance: Master in European Business Law, Master in Wealth Management; Computer Science: Master of Science in Computer Science; STEM: Master of Science in Civil Engineering, Master of Science in Physics; Humanities: Master in Contemporary European History",Bằng Cử nhân,3.6,Không,Không đề cập,0.0,0.0,Đáp ứng yêu cầu ngoại ngữ đầu vào của khóa học,Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,Thể hiện qua thư động lực (motivation letter).,,Học bổng Thạc sĩ Quốc tế Guillaume Dupaix nhằm thu hút các sinh viên quốc tế có thành tích học tập cao muốn theo học chương trình thạc sĩ tại Đại học Luxembourg.,"Quy trình gồm 2 bước:
Nộp hồ sơ vào chương trình Thạc sĩ tại Đại học Luxembourg trước.
Nếu hồ sơ được đánh giá xuất sắc, bạn sẽ nhận được lời mời nộp hồ sơ học bổng riêng, bao gồm: Hoàn thành biểu mẫu trực tuyến dành riêng cho học bổng, 01 thư động lực, 02 thư giới thiệu học thuật.","Hạn chót nộp hồ sơ: 31/03/2025
Thông báo kết quả: Khoảng giữa tháng 5/2025
Nhập học: Tháng 9/2025",https://www.uni.lu/en/
IOE – International Students House Centenary Scholarship & Mary Trevelyan Centenary Scholarship,"Trường, ""Quỹ, tổ chức""",Anh,"Toàn phần, Chỗ ở","Bao gồm toàn bộ học phí và chỗ ở miễn phí tại ISH trong một năm học. Không bao gồm chi phí sinh hoạt, vé máy bay hoặc các chi phí khác.",Thường niên,5,,2025-05-05 00:00:00,,True,Có,"Dành cho sinh viên quốc tế từ các quốc gia có thu nhập thấp hoặc trung bình thấp, chưa từng học tập hoặc sinh sống tại Vương quốc Anh trước đây.  Không áp dụng cho chương trình Thạc sĩ Khoa học Thần kinh Giáo dục (MA Educational Neuroscience). Phải có thư mời nhập học vô điều kiện (unconditional offer) chương trình Thạc sĩ",Có,Education,"Education: All full-time Master's degrees at UCL's Institute of Education, for example: MA Education, MSc Psychology of Education, MA TESOL",Bằng Cử nhân,3.6,Không,Không đề cập,0.0,0.0,"Tiếng Anh, Đáp ứng yêu cầu ngoại ngữ đầu vào của khóa học",Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,,,Chúng tôi rất vui mừng hợp tác với International Students House (ISH) để trao các suất học bổng danh giá: IOE – International Students House Centenary Scholarship và Mary Trevelyan Centenary Scholarship (được đặt theo tên người sáng lập ISH).,nộp hồ sơ và nhận được thư mời nhập học vô điều kiện từ một chương trình Thạc sĩ toàn thời gian tại khoa IOE.,Hạn chót ứng tuyển: 05/05/2025,https://www.ucl.ac.uk/ioe/about-ioe/our-global-reach/scholarships-and-funding#IOE-Centenary-Masters-Scholarships
"Think Big Postgraduate Scholarship - University of Bristol

",Trường,Anh,"Sinh hoạt phí, Toàn phần","Có 3 mức hỗ trợ học phí là £6,500, £13,000, và £26,000. Ngoài ra, người nhận học bổng còn được hỗ trợ thêm £3,000 cho chi phí sinh hoạt trong năm đầu tiên.",Thường niên,,,2025-04-23 00:00:00,,True,Có,Dành cho sinh viên quốc tế đã nhận được thư mời nhập học (offer) từ trường.,Có,All academic disciplines,"All fields: All one-year, full-time postgraduate programmes. Examples include: Engineering: MSc Robotics, MSc Data Science; Social Sciences: MSc Public Policy, MSc International Relations; Arts: MA Film and Television","Bằng Cử nhân, Sắp tốt nghiệp",3.2,Không,Không đề cập,0.0,0.0,"Tiếng Anh, Đáp ứng yêu cầu ngoại ngữ đầu vào của khóa học",Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,yêu cầu ứng viên giải thích rõ kế hoạch sau khi tốt nghiệp.,"Lãnh đạo, Kỹ năng giao tiếp, Đóng góp phát triển","Học bổng Think Big là một học bổng dạng potential-based (học bổng tiềm năng) được cung cấp bởi Đại học Bristol, vương quốc Anh. Think Big, đúng như tên gọi, tìm kiếm các ứng viên có mục tiêu rõ ràng, hoài bão cho tương lai, nỗ lực để tận dụng mọi cơ hội phát triển bản thân, đóng góp cho xã hội và đất nước.","Đã nhận được thư mời nhập học từ Đại học Bristol.
Điền đơn đăng ký học bổng trực tuyến, bao gồm thông tin cá nhân và trả lời 3 câu hỏi luận:
+ Mô tả các phẩm chất hoặc thành tích đặc biệt khiến bạn trở thành ứng viên lý tưởng.
+ Nêu ví dụ về kỹ năng lãnh đạo và/hoặc làm việc nhóm của bạn.
+ Giải thích kế hoạch sau khi tốt nghiệp và việc học tại Bristol sẽ giúp bạn đạt được mục tiêu đó như thế nào.",Hạn chót ứng tuyển (bậc Thạc sĩ): 23/04/2025,https://www.bristol.ac.uk/students/support/finances/scholarships/think-big-postgraduate/
GREAT Scholarship,Chính phủ,Anh,Khoản phí quy định,"Tối thiểu £10,000 cho học phí của một khóa học Thạc sĩ kéo dài 1 năm.",Thường niên,10,,,khoảng 12 suất cho Việt Nam ,True,Không,,Có,Varies by university,Varies by university: Each participating UK university specifies its own list of eligible Master's courses. Examples: University of Manchester: MSc International Development; University of Edinburgh: MSc Creative Industries; Cranfield University: MSc Aerospace Engineering,Bằng Cử nhân,0.0,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tiếng Anh, Đáp ứng yêu cầu ngoại ngữ đầu vào của khóa học",Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,Thể hiện qua hồ sơ xin học tại trường và hồ sơ xin học bổng.,Kết nối,"Học bổng GREAT là chương trình học bổng du học Anh bậc sau đại học, được tài trợ bởi Hội đồng Anh (British Council) cùng các trường đại học tại Anh, phối hợp với chiến dịch GREAT Britain của chính phủ Vương quốc Anh.","1. Nộp đơn và nhận được thư mời nhập học (offer) từ một khóa học Thạc sĩ hợp lệ tại trường đại học đối tác. 
2. Nộp đơn xin học bổng GREAT theo hướng dẫn riêng trên website của trường đó.","Khoảng tháng 10/2024 - 05/2025: Nộp đơn xin nhập học vào các trường đại học.
Khoảng tháng 01/2025 - 06/2025: Nộp đơn xin học bổng GREAT (sau khi đã nộp đơn xin học). 
Khoảng tháng 06 - 07/2025: Các trường thông báo kết quả. 
Lưu ý: Mốc thời gian chỉ là tham khảo, ứng viên phải kiểm tra timeline chính xác của từng trường.",https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships/vietnam
La Trobe Master of Business Analytics Scholarship,Trường,Úc,Bán phần,Giảm 50% học phí toàn khóa,Thường niên,1,2025-01-12 20:00:00,2025-10-04 20:00:00,,True,Có,"Dành cho sinh viên quốc tế (ngoài Úc/New Zealand), tự túc tài chính, đã nhận được thư mời nhập học vô điều kiện và đáp ứng yêu cầu GTE.",Có,Business Analytics,Business Analytics: Master of Business Analytics,Bằng Cử nhân,3.2,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tiếng Anh, Đáp ứng yêu cầu ngoại ngữ đầu vào của khóa học",Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,Thể hiện qua bài luận cá nhân trong đơn đăng ký học bổng.,,Dành cho sinh viên quốc tế xuất sắc đăng ký khóa Master of Business Analytics năm 2025.,"Nhận được Thư mời nhập học vô điều kiện. 
Hoàn thành đơn đăng ký học bổng trực tuyến (bao gồm bài luận cá nhân).","Kết quả sẽ được công bố sau 2 tuần kể từ hạn chót nộp đơn. 
Ứng viên vòng cuối có thể được yêu cầu phỏng vấn hoặc gửi video.",https://www.latrobe.edu.au/study/scholarships/other/la-trobe-master-of-business-analytics-scholarship
La Trobe Vice Chancellor Scholarship,Trường,Úc,"Toàn phần, Bán phần",Giảm 50% hoặc 100% học phí toàn khóa,Thường niên,3,2025-03-12 20:00:00,2025-10-04 20:00:00,,True,Có, Dành cho sinh viên quốc tế xuất sắc không chỉ trong học tập mà còn trong hoạt động ngoại khóa. Nhận được thư mời nhập học vô điều kiện,Không,All academic disciplines,All fields: All eligible undergraduate and postgraduate coursework programs at La Trobe University.,Bằng Cử nhân,3.6,Không,Không yêu cầu chặt chẽ,0.0,0.0,"Tiếng Anh, Đáp ứng yêu cầu ngoại ngữ đầu vào của khóa học",Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,Thể hiện qua bài luận cá nhân trong đơn đăng ký học bổng.,,Dành cho sinh viên quốc tế xuất sắc không chỉ trong học tập mà còn trong hoạt động ngoại khóa.,"Nhận được Thư mời nhập học vô điều kiện.
Hoàn thành đơn đăng ký học bổng trực tuyến (bao gồm bài luận cá nhân).","Kết quả sẽ được công bố sau 2 tuần kể từ hạn chót nộp đơn. 
Ứng viên vòng cuối có thể được yêu cầu phỏng vấn hoặc gửi video.",https://www.latrobe.edu.au/study/scholarships/other/la-trobe-vice-chancellor-scholarship
