Scholarship_Name,Scholarship_Organization,Scholarship_Type,Funding_level,Sponsorship Details,Application form,Application opening month (annual),Application start date,Application deadline,Scholarship slots,For Vietnamese students,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Application process,Scholarship link (URL),Notes ,Annual (Yes/No/Unknown),,,,
Invest Your Talent in Italy Scholarship,Ministry of Foreign Affairs and International Cooperation (Italy),Government,"Tuition free (participating schools) + €1,000/month for 9 months + Italian language course + internship",For MSc programs at partner Italian universities; priority fields related to industry/ICT…,Self-submit online,Usually Q4–Q1,Unknown,According to call,Not stated,yes,Eligible nationals as per call,According to call,Majors at partner universities,Bachelor's degree,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; language requirements,According to program regulations,Online application via IYT portal,Register on the MAECI/IYT portal,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/progetti-speciali/invest-your-talent-in-italy/,Refer to school pages like UniPi for more information on benefits.,yes, ,,,,
Skoll Scholarship (MBA),Oxford),University,School,Full MBA tuition + partial living allowance,For social entrepreneurs studying the Oxford MBA; the Skoll Scholars community,Self-submission (in parallel with MBA application),Usually Q3–Q4,Unknown,According to MBA admission round,Very few seats,yes,Social Entrepreneurs with Impact,—,Oxford MBA,Bachelor's degree (or equivalent),Not stated,Not stated,Leadership/Social Impact Experience,Achievements & potential for social change,According to MBA course,MBA profile + essay Skoll,According to Saïd Business School guidelines,https://www.sbs.ox.ac.uk/oxford-experience/scholarships-and-funding/skoll-scholarships,The Skoll Centre page details the benefits.,yes,,,,
Education for Sustainable Energy Development (ESED) Scholarship,Global Sustainable Electricity Partnership (GSEP),Foundation / Organization,"Up to ~US$10,000–21,000/year (depending on announcement)",Support for full-time MSc students in the field of sustainable energy; maximum term of 2 years,Self-submit online,Unknown,Unknown,Unknown,~6–10 seats/year (reference),yes,Citizens of developing countries,DAC/ODA (reference),Sustainable energy related industries,Relevant bachelor's degree,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; commitment to sustainable energy,According to program duration,Online profile,Submit according to GSEP guidelines,https://www.globalelectricity.org/,Rates & schedules may change yearly,Unknown, ,,,,
Beit Trust Postgraduate Scholarships,The Beit Trust (UK/SA),Foundation / Organization,Full tuition (UK/SA partner school),"For citizens of Zimbabwe, Zambia, Malawi only; MSc concentration",Self-submit online,Unknown,Unknown,Unknown,~20+/year (depending on the year),No (not for VN),Nationality restrictions,"Zimbabwe, Zambia, Malawi",According to the appropriate industry for regional development,Bachelor's degree,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; commitment to contribution,According to study duration,Online profile,Submit via Beit Trust portal,https://beittrust.org.uk/beit-trust-scholarships/,No Undergraduate Sponsorship,yes, ,,,,
Open Society Foundations Civil Society Leadership Awards,Open Society Foundations (OSF),Foundation / Organization,—,"**STOPPED**: OSF stops scholarship programs (CSLA, CSSA...) from 2021; no new rounds open",—,—,—,—,—,,—,—,—,—,Bachelor's degree + relevant peace/conflict experience (by track),—,—,—,—,—,https://www.opensocietyfoundations.org/grants/faq,The program has stopped from 2021 according to OSF announcement,, , ,,,,
Orange Knowledge Programme (OKP),Nuffic (Netherlands),Foundation / Organization,—,OKP program **ended 2017–2024**; only impact summary page remains,—,—,—,—,—,,—,—,—,—,Bachelor's degree (or equivalent),—,—,—,—,—,https://www.nuffic.nl/en/international/impact-and-results-of-the-orange-knowledge-programme,Individual OKP scholarships are no longer open.,, , ,,,,
Swiss Government Excellence Scholarships,Swiss Confederation (FCS/ESKAS – SBFI),Government,"Grant ~CHF 3,500/month + fee exemption/reduction based on category; no universal tuition fees",For research/PhD/Artist (no common UG/MSc course-based); apply via Swiss Embassy,Apply online via GO ESKAS + Embassy/Consulate,Usually Q3–Q4,From 04/08/2025 (for 2026/27),Deadline by country (e.g. 13/10/2025 in some countries),Not stated,yes,International applicants are eligible by country,—,Research/PhD/Arts at Swiss Campus,MSc (completed) or equivalent (depending on the category),Bachelor's degree + ≥2 years of full-time work experience,Not stated,Not stated,Strong research/portfolio,According to FCS regulations,ESKAS + application submitted via Embassy,According to ESKAS guidelines of each country,https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships,Check the separate announcement of the Swiss Embassy in Vietnam,yes, ,,,,
Stipendium Hungaricum,Tempus Public Foundation (Hungary),Government,100% tuition exemption; housing/living support (level by level),Multiple levels (UG/One-tier/MSc/PhD); apply via TPF system + partner submits application,Submit online + through sending partners,Usually Q4–Q1,Open 11–12 (depending on the year),Usually January 15 (CET) (depending on the year),Not stated,yes,Citizens of countries on the partner list,By bilateral agreement,All majors/partner programs at HU,High School (UG) / Bachelor (MSc),Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievements; foreign languages,According to academic results & TPF regulations,TPF online application + required documents,Submit on TPF system; according to the sending partner's instructions,https://stipendiumhungaricum.hu/,See Call PDF each year for milestone details.,yes, ,,,,
Eiffel Excellence Scholarship,Ministry for Europe and Foreign Affairs (France) / Campus France,Government,"Living allowance €1,200/month (Master from 1/2026); €2,100/month (PhD); travel support, insurance... (not including tuition fees)",Only **nominated** by French schools; do not apply directly; for Master & Doctorate,French schools nominated by Campus France,Usually Q4,According to the nominated school schedule,"January 8, 2026 (call 2026)",Not stated,yes,International candidates nominated by French institutions,—,Priority areas as defined by MEAE,Bachelor's degree (for Master's) or Master's degree (for PhD),Bachelor's degree (or equivalent),Not stated,Not stated,Very high academic achievement,By course,Profile through French school,The school submits to Campus France,https://www.campusfrance.org/en/france-excellence-eiffel-scholarship-program,"From 2026 the Master level will be adjusted to €1,200/month",yes, ,,,,
TaiwanICDF Scholarship,International Cooperation and Development Fund (TaiwanICDF),Foundation / Organization,Full,"Tuition, living expenses, insurance, accommodation, one-way airfare… (according to program regulations)",Self-apply online + apply to partner schools,12–03,"December 1, 2024","March 15, 2025",Not stated,yes,Citizens of partner countries,According to the list of eligible countries,According to the list of joint programs at Taiwan University,Eligible UG/PG programs,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Academic achievement; English/Chinese required,According to the required learning progress,TaiwanICDF online application + school profile,Submit on TaiwanICDF portal and school portal,https://www.icdf.org.tw/wSite/np?ctNode=31561&mp=2,2025 Calendar: December 1–March 15 (as announced),yes,,,,
Malaysia International Scholarship (MIS),Ministry of Higher Education Malaysia (MOHE),Government,Tuition exemption/reduction + allowance (by call),For international MSc/PhD applicants at Malaysian universities; open yearly,Self-submit online,6,"June 10, 2025","June 30, 2025",Not stated,yes,International applicants,—,According to the program at the University of Malaysia,MSc/PhD,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; foreign language proficiency,According to program regulations,Online application according to MOHE instructions,Submit on MIS portal,https://biasiswa.mohe.gov.my/INTER/index.php,2025 milestone reference MOHE notice,yes, ,,,,
Thailand International Postgraduate Programme (TIPP),Thailand International Cooperation Agency (TICA),Government,Full,"Tuition, living expenses, accommodation, health insurance, airfare (depending on each course)",Self-apply online via TICA,Q1–Q2,Unknown,Unknown,~70 seats/year (reference),Yes (if Vietnam is on the list that year),Citizens of eligible countries,According to the list of eligible countries,"5 main topics: SEP, Climate change, Food security, Health, SDGs…",Master's Degree Programs/Courses in the TIPP Subject,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Academic achievement; foreign language proficiency,According to academic results,Online application + documents according to TICA form,Submit on TICA portal,https://tica-thaigov.mfa.go.th/en/page/courses-for-tipp?menu=605b13b96636fb058f55e482,Check the “List of Eligible Countries” each year,yes,,,,
Brunei Darussalam Government Scholarship (BDGS),Ministry of Foreign Affairs Brunei,Government,Full,"Tuition, living expenses, dormitory, airfare, insurance… (according to announcement)",Submit online/through the Embassy (according to instructions),Q4–Q1,Unknown,Unknown,Not stated,yes,International applicants,—,"By industry at the facilities: UBD, UNISSA, UTB, PB…",University/Master's degree depending on the program,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; health/age by category,According to program regulations,BDGS Form + attached documents,Submit as per Brunei MFA guidelines,https://www.mfa.gov.bn/pages/online-bdgs.aspx,2025/26 closed – watch next season,yes, ,,,,
National Scholarship Programme (NSP),Government of the Slovak Republic (admin by SAIA),Government,"Accommodation/transportation allowance (mobility support, not tuition)","Support **exchange/research/art** for students, PhD students, lecturers, researchers, artists",Self-submit online,Q1 & Q3,Unknown,Unknown,Not stated,yes,International applicants (by mobility category),—,No industry limit (according to receiving unit),Mobility for undergraduate/master's/PhD/researcher,Bachelor's degree (or equivalent),Not stated,Not stated,Academic ability; invitation letter from the receiving institution,By mobility duration,Online application + invitation letter,Submit on NSP/SAIA system,https://www.scholarships.sk/en/main/programme-terms-and-conditions/foreign-applicants,"**Mobility** program, no tuition sponsorship",yes, ,,,,
Czech Government Scholarship,Ministry of Education,Government,Government,Full/partial (depending on level & area),For citizens of developing countries under cooperation; has national nomination channel,National nomination + online system,Q2–Q3,Unknown,"September 30, 2025",Not stated,Yes (depending on country/year),By priority country list,—,According to the program at CZ Public University,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Academic achievement; national nomination requirements,According to learning progress,Online application + through nominating agency,Apply online & through nominating agency,https://msmt.gov.cz/eu-and-international-affairs/government-scholarships-developing-countries,Check Vietnam in the list every year,yes,,,,
Knight-Hennessy Scholars (Stanford University),Knight-Hennessy Scholars – Stanford University,University,Up to 3 years of comprehensive funding,"Tuition, living expenses, housing, transportation, study; includes leadership program",Self-submit online (for Stanford applications only),Q3–Q4,Unknown,Unknown,~80–100+/year,yes,Open globally,—,All graduate programs at Stanford (JD/MA/MBA/MD/MFA/MS/DMA/PhD…),Bachelor (postgraduate),Bachelor's degree (or equivalent),Not stated,Not stated,Leadership ability; excellent academic achievement,By course (maximum 3 years),KHS online application + Stanford application,Submit on KHS portal and Stanford portal,https://knight-hennessy.stanford.edu/,See “Program Overview” & Eligibility,yes, ,,,,
Clarendon Scholarship (University of Oxford),Clarendon Fund – University of Oxford,University,Full (tuition + stipend),>200 places/year; automatically considered for candidates who submit their applications on time,Self-assessment through Oxford records (no separate application required),Q4–Q1,By course deadline (12/–1/),By course deadline (12/–1/),>200/year,yes,Open globally,—,All postgraduate courses at Oxford,Bachelor (postgraduate),Bachelor's degree + outstanding experience/leadership (depending on Oxford MBA criteria),Top academic profiles,Not stated,Excellent academic achievements,By course,Oxford Records,Automatically reviewed through the Oxford system,https://www.ox.ac.uk/clarendon,No separate application; high competition,yes, ,,,,
Schwarzman Scholars (Tsinghua University),Schwarzman Scholars (at Tsinghua University),Foundation / Organization,Full-time (1 year),"Tuition, living expenses, housing, insurance, research trips… for MSc Global Affairs",Self-submit online,Q1–Q2 & Q3–Q4 (international/China batch),Unknown,Unknown,~150/year,yes,Open globally (with Chinese track),—,Master of Global Affairs (Tsinghua),Bachelor,Bachelor's degree (or equivalent),Not stated,Not stated,Leadership & community service; academic achievement,By course (1 year),Online application + interview,Submit on the Schwarzman Scholars portal,https://www.schwarzmanscholars.org/,"1 year, residing at Schwarzman College (Tsinghua)",yes, ,,,,
Yenching Academy Scholarship (Peking University),Yenching Academy of Peking University,University,Full,"Tuition, living expenses, housing, insurance…; full scholarship for Master in China Studies",Self-submit online,Q3–Q4,Unknown,Unknown,Not stated,yes,Open globally,—,China Studies (interdisciplinary social sciences and humanities),Bachelor,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; high English (IELTS 7.0/TOEFL 100…); academic recommendation letter,By course,Online application + essay + recommendation letter,Submit on Yenching portal,https://yenchingacademy.pku.edu.cn/,Minimum English language requirements stated,yes, ,,,,
McCall MacBain Scholarship (McGill University),McCall MacBain Foundation & McGill University,Foundation / Organization,Full board + living assistance,Full tuition & living expenses for Master/professional; leadership program; international scholarships available,Self-apply online (with/at the same time as McGill application),Q2–Q3,"June 1, 2025","August 20, 2025 (international)",~30 full scholarships + Finalist awards,yes,Open globally (with quota),—,Master's/professional programs at McGill,Bachelor,Bachelor's degree (or equivalent),Not stated,Priority given to leadership activities,Leadership; community service; academic achievement,By course,Online application + interview,Submit on McCall MacBain portal,https://mccallmacbainscholars.org/apply/,Different deadlines for Canada/US & international,yes, ,,,,
Obama Foundation Scholars (Columbia University),Obama Foundation (in collaboration with Columbia World Projects),Foundation / Organization,Full 9-month residency,"Tuition for up to 4 credits, living allowance, housing, health insurance, field activities...",Self-submit online,Q1–Q2,Unknown,Unknown,~12–15/year,yes,Young leaders create social impact,—,Interdisciplinary Policy/Social Studies (according to Columbia study plan),Bachelor,Bachelor's degree (or equivalent),Not stated,Leadership/Social Impact Experience,"Leadership, commitment to public service",By course (9 months),Online application + essay + recommendation letter,Submit on Columbia World Projects portal,https://www.obama.org/programs/scholars/columbia-university/,Full-time residency program in NYC,yes, ,,,,
Rotary Peace Fellowship,Rotary International,Foundation / Organization,Full,"Tuition, accommodation, travel, internship, insurance… for Master's or professional certificate",Self-apply online; Rotary District reference letter required,Q1–Q2,February (open),May (closed) (yearly),Maximum ~130/year,yes,Open globally; not for active Rotarians,—,Peace/Development at Partner Peace Centers,Bachelor,Bachelor's degree (or equivalent),Not stated,≥3 years of experience (Master's track),Leadership & peace/development; community,By course,Online application + interview,Submit on MyRotary portal,https://www.rotary.org/en/our-programs/peace-fellowships,There are 2 tracks: Master & Professional Certificate,yes, ,,,,
Joint Japan/World Bank Graduate Scholarship Program,World Bank (sponsored by the Government of Japan),Government,Full,"Tuition, living expenses, insurance, travel; mandatory return to home country to serve development",Self-apply online + to JJ/WBGSP participation program,Q1–Q2,Unknown,Unknown,Not stated,yes,Developing country nationals (list),According to the list of eligible countries,Industry development in participating programs,Bachelor,Bachelor's degree (or equivalent),Not stated,Relevant professional development experience,Achievements & Commitment to National Development,By course,Online application + invitation/acceptance letter,Submit on World Bank Scholarships portal,https://www.worldbank.org/en/programs/scholarships/jj-wbgsp,Only for Masters in the program,yes, ,,,,
ADB-Japan Scholarship (ADB-JSP),Asian Development Bank (sponsored by the Government of Japan),Government,Full,"Tuition, living expenses (including housing), books, insurance, airfare; ~135–140 seats/year",Self-submit through partner school/ADB (according to instructions),Q4–Q1,Unknown,Unknown,~135–140/year,yes,Eligible citizens of ADB member countries,According to the list of partner countries/schools,"Economics, Management, Science & Technology, Development...",Bachelor,Bachelor's degree + experience/LMIC requirements (depending on course),Not stated,Relevant work experience,Academic achievement; commitment to development,By course,School/ADB Profile,Follow the instructions on the ADB page,https://www.adb.org/what-we-do/funds/japan-scholarship-program-jsp,See the annual list of “Participating Institutions”,yes, ,,,,
Aga Khan Foundation Scholarship,Aga Khan Foundation,Foundation / Organization,50% finance – 50% loan,Postgraduate support for citizens of selected countries; considered once a year (6–7),Self-submission through AKF country/fund representative,Q2–Q3,Unknown,Unknown,Not stated,Yes (if Vietnam is within the scope of representation),Citizens of selected countries,According to the list of countries published by AKF,By industry suitable for development goals,Bachelor,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; financial need; commitment to service,According to the scholarship-loan agreement,AKF ISP form,Submit via AKF office/regional manager,https://the.akdn/en/what-we-do/developing-human-capacity/education/international-scholarships,50% grant : 50% loan model,yes, ,,,,
KAUST Fellowship (King Abdullah Univ of Science & Tech),King Abdullah University of Science and Technology (KAUST),University,Full,"Tuition, housing, insurance, monthly stipend; total estimated value ~70–80k USD/year",Self-submit online (with KAUST documents),Rolling,Unknown,Unknown,Not stated,yes,Open globally,—,STEM at KAUST (MS/PhD),Bachelor (MS) / Master (PhD),Bachelor's degree (or equivalent),Not stated,Not stated,Strong academic record; English; research,Renewal based on progress & learning outcomes,Online application + required documents,Apply on KAUST Admissions portal,https://admissions.kaust.edu.sa/fees-funding,Fellowships come with every admission offer (most),yes, ,,,,
Khalifa University Graduate Scholarship,Khalifa University,University,Tuition exemption + allowance (by category),Tuition support and stipend for graduate students; internal GRTS/RA available…,Submit online (with KU documents),Q1–Q2,Unknown,Unknown,Not stated,yes,Open globally,—,Postgraduate at KU (UAE),Bachelor (MSc) / Master (PhD),Bachelor's degree + work experience (minimum ~2 years of accumulated experience),Not stated,Not stated,Academic achievements; research,According to learning progress,Online application + required documents,Submit on KU portal,https://www.ku.ac.ae/scholarships-postgraduate,See each scholarship on the KU website,yes, ,,,,
MBZUAI Scholarship (Mohamed bin Zayed University of AI),Mohamed bin Zayed University of Artificial Intelligence,University,Full,"100% tuition, monthly stipend, visa, health insurance; accommodation support according to regulations",Submit online (with MBZUAI documents),Q3–Q4 & Q1–Q2 (depending on the admission period),Unknown,Unknown,Not stated,yes,Open globally,—,"AI (ML, CV, NLP, Robotics… by year)",Bachelor (MSc) / Master (PhD),Bachelor's degree + (usually) required/preferred country experience,Not stated,Not stated,Academic achievement; math/CS background; English,According to learning progress,Online application + interview (depending on round),Submit on MBZUAI portal,https://mbzuai.ac.ae/study/graduate-admission-process/,"Stipend levels are published by tier, updated annually",yes, ,,,,
EPFL Excellence Fellowships,École polytechnique federal de Lausanne (EPFL),University,Excellence Scholarship (Master) + guaranteed housing,Limited number; based on outstanding achievements & extracurricular activities,Self-submission/self-review according to the program (depending on the faculty),Q4 & Q1–Q2 (Master batch),Unknown,December 15 and/or April 30 (depending on the year),Not stated,yes,Open globally,—,Master's programs at EPFL,Bachelor,Bachelor's degree (or equivalent),Not stated,Not stated,Excellent academic record; outstanding activities,According to program duration,Profile according to EPFL guidelines,Submit on EPFL portal,https://www.epfl.ch/education/master/master-excellence-fellowships/,There are also a number of faculty fellowships.,yes, ,,,,
Geneva Excellence Master Fellowships,University of Geneva – Faculty of Science,University,"CHF 10,000–15,000/year","1 year, can be extended until the end of the official period if requirements are met after Semester 1",Self-submission (parallel/continuing Master's application),Q3–Q4,Unknown,Unknown,Not stated,yes,Master's Candidate at Faculty of Science,—,MScs at the Faculty of Science (UNIGE),Suitable Bachelor's,Bachelor's degree (or equivalent),Top academic profile (recommended),Not stated,Very high academic achievement,Renewal if requirements are met after semester 1,Online application according to faculty instructions,Submitted through Faculty of Science – UNIGE,https://www.unige.ch/sciences/en/enseignements/formations/masters/excellencemasterfellowships,Very competitive; strong portfolio required,yes, ,,,,
, ,, , , , , , , , , , , , ,Bachelor's degree (or equivalent), , , , , , , , , , ,,,,
Chulalongkorn Graduate Scholarship,Chulalongkorn University,University,Full/unspecified,Usually includes tuition + round-trip airfare + living allowance (depending on announcement period),Annually,Unknown,Unknown,Unknown,yes,yes,International,Priority given to lecturers/researchers returning to work in the country,Unlimited,Not stated,Bachelor's degree (or equivalent),Unknown,Unknown,Unknown,"Academic achievement, English",Can be extended according to progress,Form + CV + transcript + English,Submit online using PDF instructions,https://academic.chula.ac.th/storage/images/internationals/63e30ae5bd59c.pdf,“Graduate Scholarship Program for ASEAN or Non-ASEAN Countries”,yes,,,,
SIIT Graduate Scholarship (Thammasat),Sirindhorn International Institute of Technology (Thammasat University),University,Full,"Usually includes tuition, allowance, insurance, airfare (depending on announcement)",Annually,Unknown,"September 1, 2025","September 30, 2025",Unknown,yes,International,,STEM/Engineering,SIIT Industries,Bachelor's degree (or equivalent),Unknown,Unknown,Unknown,"Academic achievement, English",According to the announcement,SoP + CV + transcript + English,Submit online to SIIT portal,https://graduateadmission.siit.tu.ac.th/m_newview/46,A.Y. February 2025 (January 2026 intake).,yes,,,,
TU Delft Justus & Louise van Effen Scholarship,TU Delft,University,Full,Tuition + living allowance (levels announced by TU Delft),Annually,12,Unknown,"December 1, 2025",Unknown,yes,International,,STEM/MSc from TU Delft,According to the MSc program,Bachelor's degree (or equivalent),Unknown,High GPA priority (~≥80% conversion),"Motivation, letter of recommendation",Unknown,Form,letter of recommendation,MSc profile,Submit with MSc application (upload scholarship package),https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships/justus-louise-van-effen-excellence-scholarships,Deadline is usually December 1st every year.,Có,,,
Global Citizens International Scholarship,Adelaide University (Australia),University,Tuition reduction,15–50% tuition depending on the scholarship (Global Citizens/Global Academic Excellence),Annually,Unknown,Unknown,Unknown,Unknown,yes,International,,Unlimited,Multidisciplinary,Bachelor's degree (or equivalent),Unknown,Unknown,Unknown,Academic achievements,According to the conditions of each scholarship,Admission documents + proof of achievement,Automatically considered or submitted separately (depending on the scholarship),https://international.adelaide.edu.au/admissions/scholarships,The old ASI program has been replaced by a new package.,yes,,,,
University of Sydney International Scholarships (USyd),The University of Sydney,University,Full/discounted (depending on type),"Eg: Vice-Chancellor’s up to A$60,000; various packages",Annually,Unknown,Unknown,Unknown,Unknown,yes,International,,Unlimited,Multidisciplinary,Bachelor's degree (or equivalent),Unknown,Unknown,Unknown,"Academic achievement, criteria for each package",According to the conditions of each package,Admission documents + package documents,Apply via USyd/auto-consider,https://www.sydney.edu.au/scholarships/international.html,See individual packages (e.g. Vice-Chancellor’s).,yes,,,,
KAAD Scholarship (Catholic Academic Exchange Service),KAAD (Germany),Foundation / Organization,Monthly allowance + other support,Partial/other tuition support; German required (usually ≥B2),Annually,Unknown,Unknown,Unknown,Unknown,yes,International (priority for developing countries),Catholicism may be required.,Unlimited,Multidisciplinary,Bachelor's degree (or equivalent),Unknown,Unknown,Professional experience,"Good academics, social/church commitment",Extension by progress,Students according to program requirements,Submit via network/nomination unit,https://www.kaad.de/en/stipendien,There are many programs (Prog. 1/2).,yes,,,,
BI Presidential Scholarship,BI Norwegian Business School,University,Full (tuition; may include stipend),Details subject to announcement,Annually,Unknown,Unknown,Unknown,Unknown,yes,International,,Management/Business (MSc),The MScs of BI,Bachelor's degree + work experience (candidates currently working/sent by the agency),Unknown,Unknown,Unknown,Excellent academic achievements,On schedule,Application form + letter,transcript,Submit via BI page,https://www.bi.no/en/programmes-and-individual-courses/scholarships/bi-presidential-scholarships/,Only for MSc in Oslo/Bergen.,Có,,,
Doha Institute Graduate Scholarship,Doha Institute for Graduate Studies,University,Full/Partial,Tuition waiver + stipend (depending on type),Annually,9,"September 1, 2025","January 15, 2026",Unknown,yes,International,,Social Sciences and Humanities/Public Policy… (according to DI),According to the master's program,Bachelor's degree (or equivalent),Unknown,Unknown,Unknown,Achievement + industry relevance,According to the terms of the scholarship,HS follow DI instructions,Submit online,https://www.dohainstitute.edu.qa/en/admissions-office/pages/scholarships.aspx,Application opening time is 9–1.,yes,,,,
Hamad Bin Khalifa University Scholarship,HBKU (Qatar Foundation),University,Tuition exemption/reduction + stipend (depending on college),Annually,Unknown,Unknown,Unknown,Unknown,yes,International,,According to HBKU college,According to the program,Bachelor,Bachelor's degree (or equivalent),Unknown,Unknown,Academic achievements,According to the terms of the scholarship,HS according to college requirements,Submit with application,https://www.hbku.edu.qa/en/scholarship,Scholarship policies are provided by each college.,yes, ,,,,
Mandela Rhodes Scholarship,Mandela Rhodes Foundation,Foundation / Organization,Full,"Tuition, living, leadership development",Annually,Unknown,Unknown,Unknown,Unknown,Yes (African citizens; VN: No),African citizens only,African citizens,Unlimited,Multidisciplinary (South Africa),Bachelor's degree (or equivalent),Unknown,Unknown,Optional,"Leadership, community service",According to the terms,Submit online via MRF,Two rounds of selection,https://www.mandelarhodes.org/scholarship/,For African citizens only.,yes,,,,
Skoll Scholarship (Oxford MBA),Skoll Center for Social Entrepreneurship – Saïd Business School (Oxford),University,Full/Partial,MBA tuition + living allowance (depending on the year),Annually,Unknown,Unknown,Unknown,Unknown,yes,International,,Management/Business (MBA),MBA Saïd,Bachelor's degree (or equivalent),Unknown,Unknown,Experience in creating social impact,"Social leadership, sustainable impact",According to the terms,Oxford HS + Skoll essay,Separate process associated with Oxford application,https://www.sbs.ox.ac.uk/schools/oxford-said/skoll-centre,Refer to the official Skoll center.,yes,,,,
JFUNU Scholarship (UNU-IAS),Japan),University,Fund / Organization,Monthly allowance,"~120,000 JPY/month for up to 24 months; tuition waiver possible",Annually,Unknown,Unknown,Unknown,Unknown,yes,International (priority for developing countries),,Sustainable development,Bachelor's degree (or equivalent),Bachelor,Unknown,Unknown,Unknown,Achievement + financial need,According to the terms,HS according to UNU guidelines,Submit via UNU portal,https://unu.edu/ias/msc-scholarships,For UNU-IAS programme only,Có,,,
SEARCA Graduate Scholarship,SEARCA (SEAMEO),Foundation / Organization,Full,"Tuition, living expenses, airfare, insurance, thesis support…",Annually,Unknown,Unknown,Unknown,Unknown,yes,SEAMEO member countries,yes,Agriculture & related industries,According to priority project,Bachelor's degree (or equivalent),Unknown,Unknown,Priority for civil servants/public employees,According to the terms,HS according to SEARCA,Submit online,https://www.searca.org/scholarships,Priority for Southeast Asia region.,yes, ,,,,
Queen Elizabeth Commonwealth Scholarship (QECS),Association of Commonwealth Universities (ACU),Foundation / Organization,Full,Tuition and living support (depending on host country),Annually,Unknown,Unknown,Periodic cycle (round),Unknown,yes,Commonwealth countries,CW nationality only,Unlimited,2 year Master in another CW country,Bachelor's degree (or equivalent),Unknown,Unknown,Unknown,"Achievements, commitment to development",According to the terms,Students through ACU gate,Submit online,https://www.acu.ac.uk/funding-opportunities/for-students/scholarships/queen-elizabeth-commonwealth-scholarships/,Must study in a CW country other than your own.,yes,,,,
Heinrich Böll Foundation Scholarship,Heinrich-Böll-Stiftung (Germany),Foundation / Organization,Monthly allowance + other support,According to Stiftung regulations,Annually,3 & 9 (regular),Unknown,Unknown,"About 1,000–1,500 places/year",yes,International,,Unlimited,Multidisciplinary,Bachelor's degree (or equivalent),Unknown,Unknown,Social – green – democratic activities,Achievement + social commitment,Extension by progress,Students according to portal,Register online by term,https://www.boell.de/en/scholarships,Deadline/slots vary by year.,yes,,,,
Konrad Adenauer Stiftung Scholarship (KAS),Konrad-Adenauer-Stiftung (Germany),Foundation / Organization,Monthly allowance + allowance,According to KAS regulations,Annually,Unknown,Unknown,Unknown,Unknown,yes,International (non-EU preferred),German B2 may be required,Unlimited,Multidisciplinary,Bachelor's degree (or equivalent),Unknown,Unknown,Experience & Social Commitment,Achievement + leadership,According to the terms,HS according to KAS instructions,Submit online/through partners,https://www.kas.de/en/web/begabtenfoerderung-und-kultur/auslaenderfoerderung,English information at KAS site.,yes,,,,
Friedrich Ebert Stiftung Scholarship (FES),Friedrich-Ebert-Stiftung (Germany),Foundation / Organization,Monthly allowance + health insurance + allowance,Support packages by level of education,Annually,Unknown,Unknown,Unknown,Unknown,yes,International (studying in Germany),German required,Unlimited,Multidisciplinary,Bachelor's degree + ≥2 years of full-time work experience,Unknown,Unknown,Social-democratic activities,Achievements + social commitments,According to the terms,HS according to FES,Submit online,https://www.fes.de/studienfoerderung/information-in-english,Foreign applicants must be studying in Germany.,yes,,,,
Churchill Scholarship (Cambridge),Winston Churchill Foundation of the United States,Foundation / Organization,Full/Partial,Tuition + living allowance (1 year) at Cambridge,Annually,Unknown,Unknown,Unknown,~18 scholarships/year,No (US citizens/universities only),Only students nominated by American universities,US institutions nominée,STEM at Cambridge,1 year MSc,Bachelor's degree (or equivalent),Unknown,Unknown,Optional,High STEM research achievement,According to the terms,Students from nominated schools,Submit through Foundation,https://www.churchillscholarship.org/,Limited to US students.,yes,,,,
Rhodes Scholarship (Oxford),Rhodes Trust,Foundation / Organization,Full,Tuition + living expenses for 2 years (depending on standard),Annually,Unknown,According to constituency,According to constituency,Unknown,Yes (depending on ‘Global’/region; VN: by global channel),By region/nationality,Quota by constituency,Unlimited,Multidisciplinary at Oxford,Bachelor's degree (or equivalent),Unknown,Unknown,Optional,"Leadership, community service, excellence",According to the Rhodes statute,Online HS through Rhodes House,Two rounds/Interviews,https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,See Global/SEA track.,yes,,,,
